Symbol,Name,AUM,Avg Volume
QUAL,iShares Edge MSCI USA Quality Factor ETF,"$11,014,532.41 ","1,085,981"
ACWI,iShares MSCI ACWI ETF,"$10,990,040.12 ","2,517,575"
IWS,iShares Russell Midcap Value ETF,"$10,989,582.92 ","424,917"
XLI,Industrial Select Sector SPDR Fund,"$10,546,571.64 ","10,821,097"
MTUM,iShares Edge MSCI USA Momentum Factor ETF,"$10,352,258.56 ","955,069"
XLU,Utilities Select Sector SPDR Fund,"$10,196,279.88 ","16,339,484"
VMBS,Vanguard Mortgage-Backed Securities ETF,"$10,022,629.04 ","911,542"
SCHD,Schwab US Dividend Equity ETF,"$9,990,425.63 ","645,655"
FLOT,iShares Floating Rate Bond ETF,"$9,826,610.51 ","1,419,194"
JNK,SPDR Barclays High Yield Bond ETF,"$9,665,571.53 ","6,576,975"
IWV,iShares Russell 3000 ETF,"$9,659,460.92 ","196,789"
VOE,Vanguard Mid-Cap Value ETF,"$9,616,523.27 ","236,416"
SCZ,iShares MSCI EAFE Small-Cap ETF,"$9,550,710.71 ","691,953"
VBK,Vanguard Small Cap Growth ETF,"$9,513,719.13 ","154,708"
IWO,iShares Russell 2000 Growth ETF,"$9,351,611.69 ","522,045"
VHT,Vanguard Healthcare ETF,"$9,182,519.03 ","193,656"
FDN,First Trust Dow Jones Internet Index,"$9,177,427.87 ","415,830"
BIL,SPDR Barclays 1-3 Month T-Bill ETF,"$9,139,081.29 ","1,825,197"
EWZ,iShares MSCI Brazil ETF,"$9,074,568.07 ","26,790,902"
IWN,iShares Russell 2000 Value ETF,"$8,947,355.72 ","756,745"
AMLP,Alerian MLP ETF,"$8,797,378.48 ","12,359,997"
